SCODE,Year,FEM_NUM,FEM_RTO,BOARDSIZE,IDOUT_RTO,IDOUT_NUM,AGE_AVERAGE,BRD_AGEMAX_B,BRD_AGEMIN_B,NKILM,ROA,ASS_ROA,ASS,DASS,FRAUD
8070,2017,1,12.5,8,25,2,62,66,49,43,5.56403,41966,59907,61.7,1
9903,2018,2,20,10,40,4,62,75,53,45,4.52901,26253,25972,73.4,1
6030,2018,3,37.5,5,40,2,42,48,34,71,5.60921,10768,17187,90.1,1
1734,2019,0,0,5,0,0,59,63,55,41,5.31802,9402,10006,35.9,1
5915,2019,0,0,7,28.6,2,65,77,59,19,0.50698,54046,50749,47.6,1
9318,2017,0,0,7,42.9,3,57,77,32,52,-18.86243,3780,4146,11.9,1
3647,2018,0,0,5,60,3,51,58,46,71,8.40804,9705,5937,67,1
6513,2019,1,8.3,12,33.3,4,62,65,59,23,2.41694,45512,44400,44,1
5940,2018,0,0,5,40,2,66,74,59,19,1.03469,90945,90501,78.2,1
6541,2019,1,10,7,14.3,1,50,64,44,71,51.41151,1842,2762,19,1
3023,2019,0,0,7,28.6,2,63,74,49,43,7.08554,31529,30420,45.1,1
1971,2017,0,0,10,20,2,60,76,40,19,-1.28635,8940,9423,63.9,1
5953,2017,0,0,6,33.3,2,62,75,56,21,3.30934,14867,15357,68.8,1
8070,2018,1,12.5,8,25,2,63,67,50,43,4.30873,59716,74699,67.9,1
6513,2017,0,0,13,23.1,3,61,64,58,23,4.51512,42258,45520,44.4,1
6205,2019,0,0,8,50,4,60,76,39,21,-0.87196,49314,35217,67,1
9621,2018,1,7.1,10,20,2,65,75,61,71,6.40523,49444,50873,45.3,1
7643,2018,0,0,7,14.3,1,65,72,54,45,7.28188,17880,18288,36.7,1
1982,2018,0,0,9,33.3,3,65,78,61,41,3.8731,82931,82396,27.1,1
7643,2019,0,0,7,14.3,1,66,73,55,45,9.56912,18288,19509,35.4,1
7062,2019,2,22.2,5,20,1,50,57,45,71,4.7772,2491,2505,40.2,1
3686,2017,1,12.5,5,20,1,51,59,45,71,-4.49461,5006,6842,69.3,1
6573,2020,0,0,3,33.3,1,44,48,42,71,-37.34694,490,764,64.9,1
7518,2018,1,6.7,11,36.4,4,62,75,49,71,12.41072,106827,125498,46.7,1
1822,2020,1,9.1,8,37.5,3,63,71,38,41,6.18975,152187,170899,56.6,1
6548,2017,2,18.2,8,25,2,51,71,40,71,2.42105,2850,4178,71.4,1
6192,2018,0,0,10,20,2,48,56,38,71,16.28639,2542,3876,64.9,1
4708,2018,1,7.1,10,20,2,59,64,45,71,8.33544,67123,55755,32.2,1
3782,2018,0,0,6,16.7,1,58,82,46,71,-4.37302,1898,1815,18.3,1
6408,2018,0,0,8,12.5,1,65,72,54,21,2.59719,42007,43297,59.4,1
6637,2017,0,0,10,18.2,2,61,73,52,23,4.93182,45906,46577,36.6,1
6753,2019,0,0,9,22.2,2,61,71,54,23,2.97592,1866349,1832349,83.9,1
7518,2019,1,6.7,11,36.4,4,63,76,50,71,13.99931,118313,136111,51,1
4319,2017,0,0,10,20,2,59,67,48,71,3.33046,22069,21618,75.5,1
8061,2017,1,9.1,7,28.6,2,62,68,57,43,2.4329,118254,98470,70.6,1
6333,2018,0,0,9,33.3,3,60,73,51,23,6.7412,33006,34310,27.7,1
7958,2017,0,0,7,28.6,2,61,73,43,7,3.12157,90275,92550,17.9,1
8746,2017,0,0,13,0,0,57,83,45,52,-0.05418,23994,23482,75.4,1
7932,2018,0,0,7,14.3,1,68,76,60,33,1.22915,68584,67910,58.9,1
6706,2017,0,0,9,22.2,2,58,70,49,23,3.03005,60164,61697,26.2,1
3647,2019,0,0,8,37.5,3,50,68,36,71,3.30133,5937,4554,46,1
9059,2018,1,9.1,8,25,2,63,85,50,57,3.92545,39384,39487,56.9,1
9964,2020,1,7.7,10,20,2,63,90,38,43,2.69975,67784,61338,49.7,1
6030,2017,3,37.5,5,60,3,41,47,33,71,13.86703,3685,10724,87,1
6615,2018,0,0,9,22.2,2,63,82,52,23,1.56198,65878,79792,66.7,1
6181,2018,1,12.5,5,40,2,46,54,36,71,7.44452,2794,3382,71.1,1
6815,2018,0,0,7,14.3,1,54,83,37,23,7.39809,36969,39610,22.5,1
